;USAF;STATION NAME;LAT;LON;ELEV(M);BEGIN;END;REGION
1800;321660;MALO-KURILSKOJE;43.75;146.667;65.0;19530216;19990518;Сахалинская обл.
1801;321680;SUISHO-TO;43.433;145.917;18.0;19550315;19631224;Сахалинская обл.
1802;321740;KURILSK;45.266999999999996;147.967;38.0;19480101;20040903;Сахалинская обл.
1803;321860;URUP;46.2;150.5;76.0;19530216;20020315;Сахалинская обл.
1804;321950;SIMUSIR;46.85;151.86700000000005;25.0;19480129;19981106;Сахалинская обл.
1805;322050;SEVERGINO SOUTHEAST;49.117;154.533;489.0;19480102;19530215;Сахалинская обл.
1806;322070;MATUA;48.067;153.217;58.0;19480103;19960710;Сахалинская обл.
1807;322120;DEVYATKA WEST;50.833;155.483;11.0;19590607;19620831;Сахалинская обл.
1808;322130;MYS LOPATKA;50.867;156.683;47.0;19460101;20201118;Камчатский край
1809;322150;SEVERO-KURIL'SK;50.683;156.13299999999995;23.0;19480102;20201118;Сахалинская обл.
1810;322170;CAPE VASILEVA;50.0;155.38299999999995;16.0;19530216;20050730;Сахалинская обл.
1811;322210;KINKIL;59.35;160.38299999999995;30.0;19550501;19700718;Камчатский край
1812;322220;TEVI;59.6;160.733;18.5;20120530;20151020;Камчатский край
1813;322270;PALANA;59.117;159.967;19.0;19550501;19940411;Камчатский край
1814;322460;OSSORA;59.25;163.033;3.0;19550501;19860731;Камчатский край
1815;322520;UST'-VOYAMPOLKA;58.5;159.167;7.0;19550501;20201118;Камчатский край
1816;322850;PTICHIY ISLAND;57.167;156.6;15.0;19570802;19870524;Камчатский край
1817;322870;UST'- HAJRJUZOVO;57.083;156.7;8.0;19550501;20201118;Камчатский край
1818;322930;TIGIL;57.8;158.667;12.0;19550501;19860219;Камчатский край
1819;323310;UKA-IN-KAMCHAT;57.833;162.1;3.0;19590101;19860618;Камчатский край
1820;323330;OZERNOY (MYS);57.65;163.233;9.1;19550501;20201118;Камчатский край
1821;323630;ESSO;55.933;158.667;481.0;19550501;19860706;Камчатский край
1822;323790;KOZYREVSK;55.983000000000004;159.983;45.0;19350302;19891122;Камчатский край
1823;323890;KLJUCHI;56.317;160.833;29.0;19530216;20201118;Камчатский край
1824;324080;UST'-KAMCHATSK;56.217;162.717;27.0;19480101;20201118;Камчатский край
1825;324090;CAPE AFRIKA;56.167;163.317;14.0;19600104;20090109;Камчатский край
1826;324110;ICA;55.583;155.583;6.0;19550503;20201118;Камчатский край
1827;324470;DOLINOVKA;55.117;159.067;100.0;19550501;19960107;Камчатский край
1828;324770;SOBOLEVO;54.3;155.933;14.0;19550501;20201118;Камчатский край
1829;324960;MILKOVO;54.717;158.717;125.0;19550501;20200830;Камчатский край
1830;324970;PUSHCHINO;54.167;158.0;318.0;19550501;20190425;Камчатский край
1831;325090;SEMYACHIK;54.117;159.983;27.0;19460402;20201118;Камчатский край
1832;325110;KRONOTSKY;54.717;160.35;366.0;19550501;19630919;Камчатский край
1833;325190;KRONOKI;54.617;161.2;15.9;19550501;20150512;Камчатский край
1834;325240;KIKHCHIK KAMCHATKA;53.467;156.033;7.9;19480101;19710630;Камчатский край
1835;325320;GANALI-IN-KAMCHAT;53.7;157.63299999999995;292.0;19550501;19860710;Камчатский край
1836;325390;NACHIKI-IN-KAMCHAT;53.117;157.75;325.0;19550501;19860618;Камчатский край
1837;325400;YELIZOVO;53.168;158.454;39.9;19320101;20201118;Камчатский край
1838;325470;KORVAKI;53.283;158.2;84.0;19740601;19860618;Камчатский край
1839;325480;JELIZOVO;53.0;158.333;22.0;19550501;19740924;Камчатский край
1840;325590;CAPE SHIPUNSKIY;53.1;160.033;88.0;19550501;20191213;Камчатский край
1841;325620;BOL'SHERETZK;52.833;156.3;30.0;19530216;20201118;Камчатский край
1842;325640;OKTIABR'SKAYA;52.667;156.233;6.0;19480102;20040731;Камчатский край
1843;325690;UST-BOLSHERETSK SE;52.283;157.0;34.0;19550501;19581012;Камчатский край
1844;325710;APACA;52.833;157.167;110.0;19550501;19860813;Камчатский край
1845;325830;PETROPAVLOVSK-KAMCHATSKIJ;52.867;158.65;24.0;19460403;20201118;Камчатский край
1846;325860;CAPE POVOROTNIY;52.367;158.567;18.0;19590130;20030421;Камчатский край
1847;325890;PETROPAVLOVSK SOUTH;52.333;158.583;3.0;19550509;19600525;Камчатский край
1848;325930;GOLYGINO;51.867;156.7;13.0;19550501;19570624;Камчатский край
1849;325940;OZERNAJA;51.483000000000004;156.483;28.0;19530216;20201118;Камчатский край
1850;325960;HODUTKA;51.783;158.033;18.0;19570701;20050413;Камчатский край
1851;326180;OSTROV BERINGA;55.2;165.983;18.0;19320801;20201118;Камчатский край
1852;326230;PRE-OBRAZHENSKOYE;54.783;167.6;4.0;19480101;19710630;Камчатский край
1853;330420;ZLYNKA;52.483000000000004;31.666999999999998;138.0;19320101;20030305;Брянская обл.
1854;340030;PONYRI;52.317;36.3;251.0;19590101;20201118;Курская обл.
1855;340090;KURSK;51.766999999999996;36.167;247.0;19320101;20201118;Курская обл.
1856;340130;LIVNY;52.433;37.6;179.0;19590101;20201118;Орловская обл.
1857;340270;NOVO-KASTORNOE;51.783;38.133;191.0;19590103;19940216;Курская обл.
1858;340360;LENIN SOVKHOZ;52.25;40.667;160.0;19600103;19631216;Липецкая обл.
1859;340470;ZERDEVKA;51.833;41.483000000000004;147.0;19320101;20201118;Тамбовская обл.
1860;340490;MUCHKAPSKIY SW;51.85;42.467;108.0;19590101;19631231;Тамбовская обл.
1861;340560;RTISCEVO;52.25;43.783;213.0;19590101;20201118;Саратовская обл.
1862;340630;PETROVSK;52.283;45.4;199.0;19620603;19950405;Саратовская обл.
1863;340690;ATKARSK;51.867;45.033;206.0;19590101;19800115;Саратовская обл.
1864;340720;KARABULAK;52.333;46.367;302.0;19620601;20201118;Саратовская обл.
